Yeast Gene,Arabidopsis thaliana,Neocallimastix frontalis,Glomus intraradices,Schizosaccharomyces pombe,Saccharomyces cerevisiae,Yarrowia lipolytica,Neurospora crassa,Ustilago maydis,Candida albicans,Schistosoma mansoni,Caenorhabditis elegans,Aedes aegypti,Drosophila melanogaster,Strongylocentrotus purpuratus,Ciona intestinalis,Danio rerio,Xenopus laevis,Gallus gallus,Macaca mulatta,Pan troglodytes,Homo sapiens,Canis lupus familiaris,Oryctolagus cuniculus,Mus musculus,Rattus norvegicus,
P33890,,,,,"P10863;P33890",,,,,,,,,,,,,,,,,,,,,
Q07897,,,,,"Q07897","Q6CGI0",,,"Q5A7B3",,,,,,,,,,,,,,,,,
P52921,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07684,,,,,,,,,,,,,,,,,,,,,,,,,,
O14464,,,,"O94690","O14464",,"Q7S4E7",,"Q59VH3",,"Q7YWY8","Q16VB4;Q16VB3","Q9I7Q9",,,"Q1LWG3",,,,,"Q9P0J6",,,"Q99N90",,
P52920,,,,"O94442","P52920","Q6C7A6","Q7S8Z0","Q4P759","Q59MP1",,,,"Q9VJI9",,,,,,,,"P53384",,,"Q9R060",,
P47084,,,,,"P47084",,,,,,,,,,,,,,,,,,,,,
P01366,,,,,,,,,,,,,,,,,,,,,,,,,,
P49687,,,,,"P49687",,,,"Q59RA6",,,,,,,,,,,,,,,,,
P30605,,,,,"P30605",,,,,,,,,,,,,,,,,,,,,
P39926,,,,,"P39926;P32867",,,,,,,,,,,,,,,,,,,,,
Q08965,"Q9M9Y0",,,"O94653","Q08965","Q6CB53","Q7RX28","Q4P2E1","Q5A9Y0",,,"Q17F63","Q9VVC9",,,,"Q5BJ45",,,,"Q14692",,,"Q6ZQH0;Q6PGF5",,
P48015,"O65396",,,"O14110","P48015","Q6C340","Q7SGC2","Q4PHI3","Q5AC31;Q5ACF2",,"Q22968","Q16TD5","Q95U61;Q9VKR4;Q5BII9",,,"Q5XJA4;A9C3Q7","Q0IH11","P28337",,,"A8K3I5;Q96IG6;P48728","Q9TSZ7",,"A2RSW6;Q8CFA2","Q5XI85",
P32862,,,,"O59780","P32862;P21657;P38073",,"Q7S6K8",,"Q5AF61",,,,,,,,,,,,,,,,,
Q03281,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08299,,,,,,,,,,,,,,,,,,,,,,,,,,
P05744,,,,"Q9USX4;Q9USG6","P41056;P05744","Q6BZR8;Q6C3V0","Q7S156",,,,,,,,,,,,,,,,,,,
Q04162,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99176,,,,,"Q99176",,,,,,,,,,,,,,,,,,,,,
P52553,,,,"O14450","P52553","Q6C8T7","Q7S0H5","Q4PG93",,,,,,,,,,,,,,,,,,
P26754,,,,"Q92373","P26754",,"Q7S8S2","Q4PBD4","Q59Z33",,,,,,,,,,,,,,,,,
P08153,,,,,,,,,,,,,,,,,,,,,,,,,,
P36173,,,,,,,,,,,,,,,,,,,,,,,,,,
P32191,"Q9SS48",,,"O14400","P32191;Q6B263","Q6CEQ0",,,"Q5A0W3",,"Q9NAF2",,"Q7KTA9;Q8MR87",,,,,,,,,,,,,
P36135,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99369,,,,,"Q99369",,,,,,,,,,,,,,,,,,,,,
P31383,,,,,"P31383",,,,,,,,,,,,,,,,,,,,,
P32601,,,,"O43057","P32601",,,,"Q59RR5",,,,,,,,,,,,,,,"Q91X96","Q08326",
P36113,,,,,"P36113","Q6C062",,,,,,,,,,,,,,,,,,,,
P46654,"Q8H173",,,"Q9Y7L8;Q9P546","P32905;P46654",,,,"O42817;Q9P8C6",,"P46769",,,,,,,,,,,,,,,
P53925,,,,,"P53925;Q6B2V3",,,,"Q59S22;Q59RM1",,,,,,,,,,,,,,,,,
Q12470,,,,,"Q92392;O74302;Q12217;Q12391;Q12266;Q12485;Q12085;O13528;Q04215;Q12162;P47097;Q99209;P47099;Q12441;Q03856;Q04706;Q6Q5H1;Q12470;Q12231;Q03964;P08405",,,,,,,,,,,,,,,,,,,,,
Q03085,,,,,,,,,,,,,,,,,,,,,,,,,,
P40160,,,,"Q9P7W5","P40160","Q6BZR9","Q7S8R7","Q4P581","Q5A396",,,,,,,,,,,,,,,,,
P04817,,,,,"P04817",,,,,,,,,,,,,,,,,,,,,
P52867,,,,,"P52867",,,,,,,,,,,,,,,,,,,,,
P29055,"P28147",,,"O13749","Q6B148;P29055",,,,,,"O16991",,"P29052",,,,"P29054",,,,"Q00403",,,,,
Q03079,,,,,"Q03079","Q6CCC1",,,"Q59K49",,,,,,,,,,,,,,,,,
P32802,,,,,"P32802",,,,,,,,,,,,,,,,,,,,,
P53849,,,,,"P53849",,"Q7S5P3",,,,,,,,,,,,,,,,,,,
P38742,,,,,"P38742",,,,,,,,"Q9VRX2",,,,,,,,,,,,,
P38087,,,,,"P38087",,,,,,,,,,,,,,,,,,,,,
Q05899,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03496,,,,"O60081","Q03496","Q6CE83",,,,,,,,,,,,,,,,,,,,
P38079,,,,"O74870","P25619;P38079;Q12117",,"Q9P530",,,,,,,,,,,,,,,,,,,
P38243,,,,,,,,,,,,,,,,,,,,,,,,,,
P39676,,,,"Q9URY5","P39676",,"Q7SDB4;Q7S074",,,,,,,,,"Q90YJ2",,,,,"Q9NPG2",,,"Q9ER97","Q99JA8",
Q12331,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04712,,,,,,,,,,,,,,,,,,,,,,,,,,
P53094,,,,,"P53094",,,,,,,,,,,,,,,,,,,,,
Q03195,"Q9LID6",,,"O60102","Q03195","Q6CGN0","Q7SD02","Q4P962","Q5AI20",,"Q9U2K8",,,,,,,,,,,,,,,
Q02199,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12674,,,,,,,,,,,,,,,,,,,,,,,,,,
P38882,,,,,"P38882",,,,,,,,,,,,,,,,,,,,,
P46997,,,,,,,,,,,,,,,,,,,,,,,,,,
P25515,,,,"P50515","P25515","Q6C0I1","P31413","Q4PHA5",,,,,,,,,,,,,,,,,,
O14467,,,,"O94700","O14467","Q8TG23","Q871W6",,"Q5A940",,"Q9XTV4","Q1HR23;Q16XS9","Q9XZ03",,,"Q6PBY3;A5PN46","Q3B8F0;Q6GPQ6","Q5ZMC0",,,"O60869",,,"Q9JMG1;A2AJA5","P69736",
P07807,,,,,"P07807","Q6CC38",,,"P22906",,,,,,,,,,,,,,,,,
P38635,,,,,"P38635","Q6C6Z5",,,"Q59R21",,,,,,,,,,,,,,,,,
Q08023,,,,,,,,,,,,,,,,,,,,,,,,,,
P47124,,,,,,,,,,,,,,,,,,,,,,,,,,
P14843,,,,,"P14843","Q6CDZ3","Q7SCQ0",,"P34725",,,,,,,,,,,,,,,,,
P21538,,,,,"P21538",,,,,,,,,,,,,,,,,,,,,
P32342,,,,,"P32342","Q6CGI9",,,"Q59TA2",,,,,,,,,,,,,,,,,
Q04930,,,,,,,,,,,,,,,,,,,,,,,,,,
P53063,,,,,,,,,,,,,,,,,,,,,,,,,,
Q99382,"Q8LEC2;O82222;Q8GYK4;Q8LEX3",,,"O14193","Q99382","Q6C821","Q7RXL3","Q4P2C1","Q59TA3",,"Q21737","Q16ZT0","A1ZA77;Q8SZE6",,,"Q6NYP0","Q0IHJ0","Q5ZK32",,,"Q9BTX3",,,"Q9CR96",,
P25615,"Q9FNY4",,,,"P25615","Q6C9C2","Q7SD45",,,,,,,,,"Q6P0S1;Q7SXH7",,,,,"Q9HAJ3;Q9UGP5",,,"P09838;Q9QXE2","Q5RKI3",
Q08269,,,,"O13657;Q7LWD8","Q08269;P43553",,,,"Q5AJI5;Q5AJW3",,,,,,,,,,,,,,,,,
Q06251,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08905,,,,,"P36033;Q08908;P32791;Q08905",,,,"Q59PA1;P78588",,,,,,,,,,,,,,,,,
Q12152,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08109,,,,,"Q08109",,"Q8NJ06",,,,"Q20798",,,,,"Q803I8",,,,,,,,,,
P38177,,,,,"Q6B2T6;P38177",,,,,,,,,,,,,,,,,,,,,
Q08773,,,,,"Q08773","Q6C7A7;Q6CA54","Q7RXH5","Q4PBA6","Q59WD2",,,,,,,,,,,,,,,,,
Q01926,,,,"P87149","Q01926","Q6C8H7",,,"Q5A970",,,,,,,,,,,,,,,,,
P35196,,,,"O14171","P35196",,"Q8WZU6",,,,,,,,,,,,,,,,,,,
P24088,,,,,,,,,,,,,,,,,,,,,,,,,,
P53632,,,,,"P53632",,,,,,,,,,,,,,,,,,,,,
Q03162,,,,,,,,,,,,,,,,,,,,,,,,,,
P40465,,,,,"P40465",,,,,,,,,,,,,,,,,,,,,
Q06819,,,,"P87215","Q06819","Q6C5W4",,,"Q5A1M0",,,,,,,,,,,,,,,,,
Q05021,,,,,,,,,,,,,,,,,,,,,,,,,,
Q07530,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08649,,,,"O94446","Q08649","Q6C710","Q7S9B6","Q4P3S3","Q5A7Q2",,,,,,,,,,,,,,,,,
Q07655,,,,,"Q07655",,,,,,,,,,,,,,,,,,,,,
P49090,,,,"P78753","P49089;P49090;Q6B272","Q6CH25","Q871H2","Q4PHV2",,,"Q21463",,,,,,,,,,,,,,,
P38623,,,,,"P38623",,,,,,,,,,,,,,,,,,,,,
P53048,,,,,,,,,,,,,,,,,,,,,,,,,,
P40886,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03175,,,,,"Q03175",,,,,,,,,,,,,,,,,,,,,
P40014,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12407,,,,,,,,,,,,,,,,,,,,,,,,,,
P53929,,,,,"P53929",,,"Q4PAE3",,,"Q9BL94",,,,,,,,,,,,,,,
P10081,,,,"P47943","P10081","Q6CDV4",,,"P87206",,,,,,,"Q7ZU67","O42576;O42577;Q7ZX50",,,,,,,,,
P33895,,,,"Q10173","P33895","Q6CH98;Q6C3V4","Q7S9H0",,"Q5A1Q5",,,,,,,,,,,,,,,,,
P38290,,,,,"P38290",,,,,,,,,,,,,,,,,,,,,
Q12262,,,,,,,,,,,,,,,,,,,,,,,,,,
P38157,,,,,"P38157;P53338",,,,,,,,,,,,,,,,,,,,,
Q02804,,,,,"Q02804","Q6CAG2","Q7RZN1",,,,,,"Q9W389",,,"Q5EAS5",,,,,,,,,,
Q08282,,,,"O60157","Q08282","Q6C3P4","Q9P3K9",,,,,,,,,,,,,,"O60294",,,"Q8BYR1;O89050","Q5XIA3",
P40101,,,,,,,,,,,,,,,,,,,,,,,,,,
P40104,,,,,,,,,,,,,,,,,,,,,,,,,,
Q08923,,,,"Q1MTR4","Q08923","Q6C0F4",,"Q4PHL4","Q5ABT3;Q5AC55",,,,,,,,,,,,,,,,,
P32786,,,,,"P32786",,,,,,,,,,,,,,,,,,,,,
Q04033,,,,,"Q04033","Q6CFP5","Q7RYC8","Q4PGS5","Q5AA00",,,,,,,,,,,,,,,,,
P00549,,,,"Q10208","P00549","P30614","Q7RVA8","Q4PIA6",,,,,,,,,,,,,,,,,,
Q08994,,,,,,,,,,,,,,,,,,,,,,,,,,
P41814,"O80846",,,"Q9HGL4","P41814","Q6CF35",,,,,,,"Q9VMB7",,,,"Q6GQD8",,,,"Q9UJA5",,,"Q8CE96",,
P38813,,,,,"P38813","Q6CB37",,,"Q59WG7",,,,,,,,,,,,,,,,,
Q12052,,,,,,,,,,,,,,,,,,,,,,,,,,
P32381,,,,"Q9UUJ1","P32381","Q6C1K7","Q870X5","Q4P3A8",,,,,,,,,,,,,,,,,,
P24814,"Q9C5C9;Q9XIA2;Q9LE82",,,"O74991","P24814","Q6CBX1","Q7RVX0;Q8X0T7","Q4PEW4","Q5AK77",,"O45323",,"Q9VDD4",,,,,,,,,,,"Q8CDU4",,
P23796,"Q7Y230",,,,"P23796",,"Q7S7X7",,,,,,,,,,,,,,,,,,,
P38756,,,,,,,,,,,,,,,,,,,,,,,,,,
P28320,"Q9SHH1;A8MR03",,,,"P28320",,,,,,"Q20124",,"Q7JVH0",,,"A8WHR3;Q803C6",,,,,"Q9BW85",,,"Q9D6J3","A2VD11",
P40558,,,,,"P40558","Q6C5D0","Q8X0F1",,"Q59YD9",,,"Q16H50","Q9VPD2",,,"Q3B7Q7","Q6DEE4","Q5ZKV4",,,"Q2YS46;Q9Y5Y2",,,"Q9R061","Q68FS1",
P32179,"Q8GY63;Q84VY5;Q38945",,,"O94505","P32179","Q6C055","Q7RZE9","Q4PDZ9","Q59XQ1;P46594;Q96VN9",,,,,,,,,,,,,,,,,
P40955,,,,,"P40955",,,,,,,,,,,,,,,,,,,,,
Q12060,,,,,,,,,,,,,,,,,,,,,,,,,,
P56628,,,,,"P56628",,,,,,,,,,,,,,,,,,,,,
P19414,,,,"O13966","P19414","Q1XD13;Q6C9P6","Q7S4W0","Q4PAG4","Q5A380",,,,"Q9VIE8",,,,,,,,,,,,,
P26783,,,,"O14277;Q9P3T6","P26783","Q6C2E5","Q7RVI1",,"Q5AG43",,,,,,,,,,,,,,,,,
Q07963,,,,,,,,,,,,,,,,,,,,,,,,,,
P07256,,,,,"P07256",,,,"Q5AK04",,,,,,,,,,,,,,,,,
P39005,,,,,"P39005",,,,,,,,,,,,,,,,,,,,,
P38129,"Q6S7B0",,,"O13282;O74319","P38129","Q6CEN7","Q9C2E3","Q4P9Y4","Q5A6L8",,,,,,,,,,,,,,,,,
P53246,,,,,"P53246;Q05934",,,,,,,,,,,,,,,,,,,,,
Q3E828,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12038,,,,"Q10408","Q12038;P38163","Q6C8J6","Q7S1Y2",,"Q59RK1",,,,,,,,,,,,,,,,,
P38897,,,,,,,,,,,,,,,,,,,,,,,,,,
P38250,,,,,"P38250",,,,,,,,,,,,,,,,,,,,,
P53329,,,,,"P53329","Q6CFP9",,,,,,,,,,,,,,,,,,,,
P53633,,,,,"P53633",,,"Q4P3T2","Q96W56",,,,,,,,,,,,,,,,,
P21264,"Q84TI2;O80937;Q9SJ42",,,"P15567","P21264","Q6CDK7","Q7SGX5","Q4PFX0","Q5ANJ5;Q92210",,,,,,,,,,,,,,,,,
P46367,,,,,"P46367",,,,,,,,,,,,,,,,,,,,,
P07251,,,,"P24487","O13449;P07251","Q6C326","P37211",,,,,,,,,,,,,,,,,,,
P50101,,,,"Q09879;Q9UTT1","P50101","Q6C8W6","Q96U79","Q4PB74","Q59XT0",,,,,,,,,,,,,,,,,
P00360,,,,,"P00360",,,,,,,,,,,,,,,,,,,,,
P39940,,,,"O14326;Q92462","P39940","Q6C5H0","Q7RV01;Q6M906","Q4PGV0",,,,,,,,,,,,,,,,"Q8BZZ3",,
P05316,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12059,,,,"Q9UT93","Q12059","Q6C046",,"Q4P229","Q59NP9",,,,,,,,,,,,,,,,,
P40434,,,,,,,,,,,,,,,,,,,,,,,,,,
P38920,"Q9ZRV4",,,"Q9P7W6","P38920",,"Q7SA79",,,,,,,,,,,,,,"P40692",,,"Q8CAP8;Q8VDI4","P97679",
P53739,,,,"Q09831","P53739",,"O42626",,,,,,,,,,,,,,,,,,,
P48567,,,,"O59721","P48567","Q6C7U6","Q9C2G0",,"Q5A1U9;Q5A1P2",,,,,,,,,,,,,,,,,
P38896,,,,,,,,,,,,,,,,,,,,,,,,,,
P53256,"Q9LX74",,,"O42894","P53256","Q6C108",,,,,,"Q174Q5","Q9VGZ2;Q95TW1",,,"Q1LVM3;Q0P3Y3","Q4KLC7",,,,"B2RC50;Q9NQT4",,,"Q9CRA8;Q3U2K4","B2RZ47",
P43570,,,,,"P43570",,,,,,,,,,,,,,,,,,,,,
P18962,,,,"O14073","Q66R87;P18962","Q6CFX2","Q7SHU8",,,,,,,,,,,,,,,,,,,
P47027,"Q9ZP54",,,,"P47027",,,,,,,,,,,,,,,,,,,,,
P39974,,,,,,,,,,,,,,,,,,,,,,,,,,
P12945,,,,,"P12945","Q6C1Z0",,,"Q59YJ5",,,,,,,,,,,,,,,,,
P53144,,,,,"P53144;P38331",,,,,,,,,,,,,,,,,,,,,
P89113,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12310,,,,,,,,,,,,,,,,,,,,,,,,,,
P39722,,,,"O59781","P39722","Q6C2J1","Q7RZA2",,,,,,,,,,,,,,,,,,,
P16658,"Q9LSS3;Q9M1E8",,,"Q8TFH7","P16658","Q6CFG1","Q9P6Y2",,"Q5AF73",,,,"Q8IP11",,,"Q08BW3","Q6GPB4",,,,"Q8NCE0",,,,"Q5M954",
P48564,,,,,,,,,,,,,,,,,,,,,,,,,,
Q01802,,,,,"Q01802",,,,,,,,,,,,,,,,,,,,,
P38197,"Q944L8;Q94JS1;Q9SZ26;O65386",,,"Q9P6Q1","P38197;Q6B256","Q6CB49","Q873K9","Q4PB82",,,"P52057",,"Q9VA97",,,,,,,,"O94903",,,"Q9Z2Y8",,
P38778,,,,,"P38778","Q6C7M8",,,,,,,,,,,,,,,,,,,,
Q08693,,,,,"Q08919;Q08693",,,,"Q59KR8",,,,,,,,,,,,,,,,,
P36124,,,,"Q10362","P36124","Q6C330","Q7RZ84;Q6M999",,"Q59ZX1",,,,,,,,,,,,,,,,,
P35203,,,,,"P35203",,,,,,,,,,,,,,,,,,,,,
P38783,,,,"O74972","P38783","Q6C3R3",,,"Q5A8X7",,,,,,,,,,,,,,,,,
Q12412,,,,,,,,,,,,,,,,,,,,,,,,,,
P38787,,,,"Q9HDU6","P38787","Q6C0X8",,,"Q5AK14",,,,,,,,,,,,,,,,,
Q12013,"Q05753",,,,"Q12013;P39010",,,,,,"Q18297",,,,,,,,,,"Q29RW6;Q3B857",,,,,
P38150,,,,,,,,,,,,,,,,,,,,,,,,,,
P53196,,,,,"P53196",,,,,,,,,,,,,,,,,,,,,
P38713,,,,"O13944","P38713","Q6C4Y2","Q8NIV7","Q4PFJ8","Q59TM0",,,,,,,,,,,,,,,,,
P53889,,,,"Q9P7L4","P53889","Q6CAZ6","Q7SDX2",,"Q59ZU7",,,,,,,,,,,,,,,,,
Q12271,,,,"O43001","Q12271;P50942;P40559",,,,,,,,"O46094",,,,,,,,,,,,,
P40825,"P36428",,,,"P40825","Q6CFS9","Q7SHP9","Q4P3T0",,,"O01541","Q17LY0","Q8T9K4;Q9VLM8",,,"A1A5T1;Q6IQM6",,,,,"P49588",,,"Q8BGQ7;Q6XMP4;Q3UD67;Q3TZ32",,
P33328,,,,,"P33328",,,,,,,,,,,,,,,,,,,,,
Q08970,,,,,,,,,,,,,,,,,,,,,,,,,,
Q03103,,,,"O74401","Q03103;Q6B1N0",,,,"Q5AP93",,,,,,,,,,,,,,,,,
P47821,"Q9FJK7",,,"O94503","P47821","Q6CAC7","Q9HE63","Q4P101","Q5A4H9",,,,"P25008",,,,,,,,,,,,"P39947",
Q00947,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00381,,,,"Q9Y7L6","Q00381",,,,"Q59TV8",,,,,,,,,,,,,,,,,
Q2V2P3,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2V2P7,,,,,,,,,,,,,,,,,,,,,,,,,,
P38851,,,,,"P38851",,,,,,,,,,,,,,,,,,,,,
P38853,,,,"P87061","P38853;P50090",,"Q7SI30",,,,,,,,,,,,,,,,,,,
P32340,"O65414",,,,"P32340",,,,,,,,,,,,,,,,,,,,,
Q12439,,,,,,,,,,,,,,,,,,,,,,,,,,
P36156,"Q8H121;Q9FL95",,,,"P36156;Q04806",,,,,,,,,,,,,,,,,,,,,
P10507,,,,"Q9P7X1","P10507","Q6CGY9","P11913","Q4P1M0","Q5AI26",,,,,,,,,,,,,,,,,
P54783,"Q8GY16;Q9SU56;Q9MAX4",,,"Q9HDX8","P54783","Q6CG88","Q7SGY1",,"O93852",,,,,,,,"Q5U4Z7",,,,,,,"Q8K156;P58710;Q8K152;Q8JZZ1","P10867",
Q12455,,,,,"Q12455","Q6C706",,,,,,,,,,,,,,,,,,,,
P53748,,,,,,,,,,,,,,,,,,,,,,,,,,
P38361,,,,,"P38361","Q6C4T4",,,,,,,,,,,,,,,,,,,,
P47011,,,,,"P47011",,"Q871S1",,,,,,,,,,,,,,,,,,,
P34228,,,,"O94490","P34228","Q6CA85",,,"Q59UY7",,,,,,,,,,,,,,,,,
Q12211,,,,,,,,,,,,,,,,,,,,,,,,,,
P50874,,,,"O43114","P50874","Q6CG25",,,,,"Q23249",,"Q24169",,,"Q6P0X9","Q4V867","Q5F3H9",,,"Q9UDM8;Q53FC8;O43913",,,"Q9WUV0","Q5M7U2",
P23501,,,,,"P23501",,,,,,,,,,,,,,,,,,,,,
P38137,,,,,,,,,,,,,,,,,,,,,,,,,,
P38985,"O04421",,,"Q9P372","P38985","Q6C0K0","Q7S479","Q4P4J8",,,"O16927","Q17M28","Q8IGQ4;Q9VDL0",,,"Q4V9I5",,"Q5ZIE3",,,"Q96Q14;P37108","P16255",,"P16254;A2AUM6",,
P53846,,,,,,,,,,,,,,,,,,,,,,,,,,
P23394,,,,,"P23394","Q6C024","Q7SEL0",,,,,,,,,,,,,,,,,,,
P40048,,,,"P32586;P27574","P29461;P40048","Q6C0H6","Q9P664",,,,,,,,,,,,,,"O95147",,,"Q7TPY1",,
Q07923,,,,"Q9USJ6","Q07923",,,,,,,,,,,,,,,,,,,,,
P53736,,,,,"P53736",,,,,,,,,,,,,,,,,,,,,
Q3E798,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E795,,,,,,,,,,,,,,,,,,,,,,,,,,
P25386,,,,,"P25386",,,,,,,,,,,,,,,,,,,,,
Q02710,,,,,"P09007;Q02710",,"Q9HE47",,,,,,,,,,,,,,,,,,,
Q10740,,,,"O94544","Q10740","Q6C3E5","Q7S785",,,,,,,,,,,,,,,,,,,
Q12390,,,,,"Q12390",,,,,,,,,,,,,,,,,,,,,
Q08914,,,,,"Q6Q581;Q08992;Q04902;Q04432;Q08914",,,,"Q5AEL7;Q5AF03;Q6YK78",,,,,,,,,,,,,,,,,
P39728,,,,,,,,,,,,,,,,,,,,,,,,,,
P40015,,,,"O74369","P40015","Q6C8M5","Q7SCM8","Q4PAL6",,,"O45870","Q17JK7","Q9VZS6",,,"Q4LEU0",,,,,"O60906;Q5TED1",,,"Q8C6H6;O70572","Q9ET64",
P23615,"Q9CAM1",,,"Q09915","P23615",,"Q8NIV6",,"Q3MNT0",,"O01325;Q9XXE5;Q18865;P91360;Q18684;O61767;O01798;Q23538;Q18142;Q20933;Q22243;Q22245;P34703;Q23554;Q22765;Q9TXI2",,,,,"Q8UVK2",,,,,"Q7KZ85",,,"Q62383",,
P39981,,,,,"P39981","Q6C4A9",,,,,,,"Q8MRD1",,,,,,,,,,,"Q3USY0",,
P24276,,,,,"P24276","Q6C1S7","Q8X0S0",,"O13327;Q5AKM5;Q5AK62",,,,,,,,,,,,,,,,,
Q99216,,,,"O14044","Q99216","Q6C7G0","Q7S929",,"Q5ACM4",,"O18216","Q16NX6","Q9VR89",,,"Q6VEU3","Q8AVH4","Q5F414","Q7YRC8",,"Q9NRX1",,,"Q9CPS7","Q6VBQ8",
P04451,"P49690",,,"O42867","P04451","Q6C9L1","Q7SHJ9","Q4P8N0","Q59M73",,,,,,,,,,,,,,,,,
Q3E809,,,,,,,,,,,,,,,,,,,,,,,,,,
Q00362,,,,"Q12702","Q00362",,"Q1K8Z9;O94181;O94180","Q4P3E8",,,,,,,,,,,,,,,,,,
P30624,,,,,"P30624",,,,,,,,,,,,,,,,,,,,,
Q12321,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8TGS1,,,,,,,,,,,,,,,,,,,,,,,,,,
P06115,,,,,"P06115",,,,,,,,,,,,,,,,,,,,,
P13574,,,,,,,,,,,,,,,,,,,,,,,,,,
P35210,,,,,"P40578;P35210",,,,,,,,,,,,,,,,"O75762",,,,,
P38297,,,,,"P38297","Q6C2D0","Q7RXS3","Q4P1K5","Q59P94",,,,,,,,,,,,,,,,,
P53294,,,,,"P53294",,,,,,,,,,,,,,,,,,,,,
Q12204,,,,,,,,,,,,,,,,,,,,,,,,,,
P53973,"Q8GXJ1",,,"P56523","P53973","Q6C4P0","Q8WZR5;Q7RY64","Q4PCR1","Q5A960",,,,,,,,,,,,,,,,,
P40342,,,,,,,,,,,,,,,,,,,,,,,,,,
P36024,,,,,"Q08438;P36024",,,,,,,,,,,,,,,,,,,,,
P53833,,,,"O74450","P53833","Q6C2J3",,,"Q5ACI5",,,,,,,,,,,,,,,,,
P38876,,,,"O74806","P38876",,"Q8X0D8",,,,,,,,,,,,,,"Q86Y79",,,,,
P53886,,,,,"P53886",,,,,,,,,,,,,,,,,,,,,
P0C0W1,,,,,"P0C0W1;Q3E7Y3","Q6C0E7;Q6CA56","Q7RV75",,"Q96W54",,,,,,,,,,,,,,,,,
P40500,,,,,,,,,,,,,,,,,,,,,,,,,,
Q04279,,,,,,,,,,,,,,,,,,,,,,,,,,
P19454,,,,,"P19454","Q6CE43",,,"Q59ZI9",,,,,,,,,,,,,,,,,
P09435,,,,,"P09435;P22202",,,,,,,,,,,,,,,,,,,,,
Q12296,,,,,,,,,,,,,,,,,,,,,,,,,,
P27637,,,,,"P27637",,,,,,,,,,,,,,,,,,,,,
P35195,,,,,"P35195","Q6C4I8","Q7SBC2",,,,,,,,,,,,,,,,,,,
Q3E763,,,,,,,,,,,,,,,,,,,,,,,,,,
Q02159,,,,"O00102","Q02159",,"Q9C2A5","Q4PHS4","Q5A3Y0",,"Q9U1Q1","Q170S2","Q9N9Z5;Q9VXE8",,,"Q4V9I8","Q6DFI4",,,,"P60604;A8K3L4",,,"Q3U431;P60605;Q3UWG7",,
Q12392,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3E7A6,,,,,,,,,,,,,,,,,,,,,,,,,,
P07245,,,,"O43007;Q8WZJ7","P07245;P09440","Q9HFV0","Q7RXH3","Q4P993",,,,,,,,,,,,,,,,,,
P41338,,,,"Q9UQW6","P41338","Q6CFB6","Q7SHP4",,"Q59K50",,,,,,,,,,,,,,,,,
Q03661,,,,,,,,,,,,,,,,,,,,,,,,,,
Q12162,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
P47149,,,,,"P47149","Q6CAW0",,,"Q5A9E6",,,,,,,,,,,,,,,,,
P35729,,,,,"P35729",,,,,,,,,,,,,,,,,,,,,
Q03338,,,,,,,,,,,,,,,,,,,,,,,,,,
P19807,,,,,,,,,,,,,,,,,,,,,,,,,,
P38315,,,,,"P38315",,,,,,,,,,,,,,,,,,,,,
P40347,,,,"P41893","P40347","Q6C3R6","Q7S0H0","Q4PCU4","O94044;Q5A7D3",,,,,,,,,,,,,,,,,
Q08032,"Q9LSG6",,,"O74113","Q08032","Q6CFJ7","Q6M989",,"Q59K33",,,,"O96989",,,"Q7ZU79","Q6AZM5",,,,,,,,,
Q03856,,,,,"Q04706;O74302;Q12217;Q03964;Q12266;Q12162;O13528;Q04215;Q12391;Q12085;Q99209;P47099;Q12441;Q03856;Q92392;Q6Q5H1;P08405;Q12470;Q12231;Q12485;P47097",,,,,,,,,,,,,,,,,,,,,
Q08220,,,,"P35669","Q08220","Q6CBL1","Q7SBI1","Q4P309",,,,,,,,,,,,,,,,,,
P38302,,,,,,,,,,,,,,,,,,,,,,,,,,
P53206,"Q6NKY5",,,"P87131","P53206","Q6C6L3",,,"Q5ABX6",,,,,,,,,,,,,,,,,
Q12193,,,,,,,,,,,,,,,,,,,,,,,,,,
