E. coli K12 gene,"Pseudomonas aeruginosa","Pseudomonas fluorescens","Salmonella typhimurium","Yersinia pestis","Vibrio cholerae","Vibrio fischeri ES114","Vibrio fischeri MJ11","Haemophilus influenzae","Rickettsia prowazekii","Helicobacter pylori","Staphylococcus aureus","Bacillus subtilis","Bacillus anthracis","Streptococcus pneumoniae","Deinococcus radiodurans","Chlamydia trachomatis","Chlamydophila pneumoniae","Aquifex aeolicus","Thermotoga maritima","Mycobacterium tuberculosis","Nocardia farcinica","Streptomyces coelicolor","Borrelia burgdorferi","Treponema pallidum","Mycoplasma genitalium","Mycoplasma pneumoniae","Sulfolobus solfataricus","Aeropyrum pernix","Halobacterium salinarum","Pyrococcus furiosus"""
MUKB_ECOLI,,,"Q935S7","Q8ZG99","Q9KRC8","Q5E0E4",,"P45187",,,,,,,,,,,,,,,,,,,,,,
MUKF_ECOLI,,,"Q8ZQB7",,"Q9KRC6","Q5E0E6",,"P45185",,,,,,,,,,,,,,,,,,,,,,
MURA_ECOLI,"Q9HVW7",,,"Q8ZB56","Q9KP62","Q5E7V0",,"P45025",,,,"P70965",,,,,,,,,,,,,,,,,,
MURB_ECOLI,"Q9HZM7",,"P37417","Q8ZAN4","Q9KV40","Q5E225",,"P44605",,,,,,,,,,,,"P65460","Q5YP42","Q9L0L7",,,,,,,,
MURC_ECOLI,"Q9HW02;AAF14862",,"Q8ZRU2","Q8ZIE8","Q9KPG8","Q5E2Q1",,"P45066","Q9ZDS8","O25340","O31211","P40778","Q81KQ2","Q97PS8",,"O84767","Q9Z701","O67373",,,,,"O51757","O83361",,,,,,
MURD_ECOLI,"Q9HVZ9",,"Q8ZRU4","Q8ZIF1","Q9KPG5","Q5E2P8",,"P45063","Q9ZDC2","O25236","AAC45626","CAA45555;Q03522","Q81WC9","Q9ZHB0;AAC95449","Q9RRJ4","O84763",,"O67852","Q9WY76","O06222","Q5YYY1","Q9S2W9","O51532","O83873",,,,,,
MURE_ECOLI,"1084033;Q9EY49;Q59650",,"Q8ZRU7","Q8ZIF4","Q9X6N4","Q5E2P5",,"P45060",,,,,,,"Q9RXL3","O84271","Q9Z8C5",,,,,,"O51219","O83903",,,,,,
MURF_ECOLI,"Q9EY48;Q9HVZ7",,"Q8ZRU6","16120879","Q9KPG3","Q5E2P6",,"P45061",,,,,,,,,,,,,,,,,,,,,,
MURG_ECOLI,"Q9HW01",,"Q8ZRU3","Q8ZIE9","Q9KPG7","Q5E2Q0",,"P45065",,,,,,,"Q9RWP0",,,,,"O06224",,"Q9ZBA5",,,,,,,,
MURI_ECOLI,,,"P40723","Q8ZAA2","Q9KVI7","Q5E218",,"P52973",,,,,,,,,,,,,,,,,,,,,,
MURQ_ECOLI,,,,,"Q9KU39",,,,,,,,,,,,,,,,,,,,,,,,,
MUTH_ECOLI,,,"Q8ZMA8","Q8ZHU5","Q9KU56","Q5E7P6",,"P44688",,,,,,,,,,,,,,,,,,,,,,
MUTL_ECOLI,"Q9HUL8",,"P14161","Q8ZIW4","Q9KV13","Q5E2C6",,"P44494",,,,,,,,,,,,,,,,,,,,,,
MUTS_ECOLI,,,"P0A1Y0","Q8ZBQ3","Q9KUI6","Q5E7G7",,,,,,,,,,,,,,,,,,,,,,,,
MUTT_ECOLI,,,"Q8ZRT6","16120893",,,,,,,,,,,,,,,,,,,,,,,,,,
MUTY_ECOLI,"Q9HU37","Q6T7F7","Q05869","Q8CZV0","Q9KUR3","Q5E7S9",,"P44320",,,,,,,,,,,,,,,,,,,,,,
MVIM_ECOLI,,,"541212;P37168","16122281;Q7CIB2","Q9KKQ4","Q5E1B0",,,,,,,"Q81KR7",,,,,,,,,"Q9K3Z6",,,,,,,,
NADA_ECOLI,"Q9I4W9","Q9L559","P24519","Q8ZGY8","Q9KR14","Q5E686",,,,,,,,,,,,,,"P65497","Q5YYQ8",,,,,,,,,
NADB_ECOLI,"Q51363",,"Q8ZMX9","Q8ZD80","Q9KPA4","Q5E307",,,,,,,"Q81LF9",,,,,,,,,"Q9X8N8",,,,,,,"Q9HNZ0","Q8TZL4"""
NADC_ECOLI,"P30819;Q9ZB87",,"P30012;Q9L4I5","Q8D1B7;16123573","Q9KPE6",,,,,"O25909",,"P39666","Q81LG0","Q97NK8",,,,"O67029",,"O06594",,"Q9X8N7",,,,,,,,
NADD_ECOLI,"Q9HX21",,"Q8ZQZ8","Q8ZDG1",,,,,,"O25895",,,,,,,,,"Q9WXV2","O86328","Q5Z020","Q9RDK7",,"O83723",,"P75442",,,,
NADE_ECOLI,,,"Q8ZPU5",,,,,,,,,,,,,,,,,,,,,,,,,,,
NADR_ECOLI,,,"P24518","16120775",,,,"P44308",,,,,,,,,,,,,,,,,,,,,,
NAGB_ECOLI,,,"Q8ZQX7","Q8ZDE1",,,,"P44538",,,,,,,,,,,,,,,,,,,,,,
NAGD_ECOLI,,,,,,,,,,,,,,,,,,,,,"Q5YNP0","Q9RDA8",,,,,,,,
NAGK_ECOLI,,,"Q8ZPZ9",,"Q9KRV2","Q5E4Z3",,"P44554",,,,,,,,,,,,,,,,,,,,,,
NAGZ_ECOLI,"Q9HZK0",,"Q8ZQ06","Q8ZFS3","Q9KU37","Q5E083",,"P44955","Q9ZCL9",,,,,,,,,,,,,,,,,,,,,
NANA_ECOLI,,,"Q8ZLQ6",,,,,"P44539",,,,,,,,,,,,,,,,,,,,,,
NANK_ECOLI,,,"Q8ZLQ8",,,,,,,,,,,,,,,,,,,,,,,,,,,
NANT_ECOLI,,,,,,,,,,,,,"Q81JL1;Q6HQ54",,,,,,,,,,,,,,,,,
NAPA_ECOLI,"Q9I4G3",,"Q8ZNH6","Q8ZCF3","Q9KLR4","Q5E3J6",,,,,,,,,,,,,,,,,,,,,,,,
NAPB_ECOLI,"Q9I4G4",,,"16123214","Q9KLR3",,,"P44654",,,,,,,,,,,,,,,,,,,,,,
NARG_ECOLI,,"Q9F0X7;O06937","Q8ZP37",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARL_ECOLI,"O54039;Q9HXD3","Q9F0Y1","Q8ZP34",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARP_ECOLI,"O54039;Q9HXD3",,"Q8ZNI1","16123218;Q8D0X7",,"Q5E3J2",,"P44845",,,,,,,,,,,,,,,,,,,,,,
NARQ_ECOLI,,,"Q8ZN78",,"Q9KLR7","Q5E3J3",,"P44604",,,,,,,,,,,,,,,,,,,,,,
NARU_ECOLI,,,"P37593",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARV_ECOLI,,,"Q8ZPD8",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARW_ECOLI,,,"Q8ZPD9",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARX_ECOLI,,,"Q8ZP35",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARY_ECOLI,,,"Q8ZPE0",,,,,,,,,,,,,,,,,,,,,,,,,,,
NARZ_ECOLI,,,"Q8ZPE1",,,,,,,,,,,,,,,,,,,,,,,,,,,
NDK_ECOLI,,,"P65534","Q8ZCT2","Q9KTX4","Q5E776",,"P43802",,,,,,,,,,,,,,,,,,,,,,
NDPA_ECOLI,,,"P67714","Q8ZGM5","Q9KQF9","Q5E4A3",,"P44896",,,,,,,,,,,,,,,,,,,,,,
NEMA_ECOLI,"Q9HZR5",,"Q8ZPN7","16122602;Q8D0L8",,,,,,,,,,,,,,,,,,,,,,,,,,
NFNB_ECOLI,,,"P15888",,"Q9KLV4",,,,,,,,,,,,,,,,,,,,,,,,,
NFSA_ECOLI,,,"Q9Z5Z2",,"Q9KU15","Q5DYW1",,,,,,"P39605","Q81SK1",,,,,,,,,,,,,,,,,
NFUA_ECOLI,"Q9I2P8",,,,"Q9KNL2","Q5E1Z0",,"P31774",,,,,,,,,,,,,,,,,,,,,,
NHOA_ECOLI,"Q9HUY3",,"Q00267",,,,,,,,,,,,,,,,,"P0A5L8",,,,,,,,,,
NIFJ_ECOLI,,,"Q8ZP89",,"Q9KM58",,,,,,,,,,,,,,,,,,,"O83909",,,,,,
NIKR_ECOLI,,,"P64413",,,,,,,"O25896",,,,,,,,,,,,,,,,,,,,"Q8U3X9"""
NIRB_ECOLI,,,"Q8ZLK6","16120504",,,,,,,,,,,,,,,,,,,,,,,,,,
NIRC_ECOLI,,,"P25926",,,,,,,,,,,,,,,,,,,,,,,,,,,
NLPC_ECOLI,,,,"Q74TG0",,,,"Q57223",,,,,,,,,,,,,,,,,,,,,,
NLPD_ECOLI,,,"P40827","16123506",,,,"P44833",,,,,,,,,,,,,,,,,,,,,,
NLPE_ECOLI,,,,"Q7CH24",,,,,,,,,,,,,,,,,,,,,,,,,,
NLPI_ECOLI,,,,,"Q9KU75","Q5E7L0",,"P44585",,,,,,,,,,,,,,,,,,,,,,
NORR_ECOLI,,,"Q8ZMJ8",,,,,,,,,,,,,,,,,,,,,,,,,,,
NORV_ECOLI,,,"Q8ZMJ7",,,"Q5E3W9",,,,,,,,,,,,,,,,,,,,,,,,
NORW_ECOLI,,,"Q8ZMJ6",,,"Q5E3X0",,,,,,,,,,,,,,,,,,,,,,,,
NPD_ECOLI,"Q9HTV2",,"P0A2F2","Q8ZFR1","Q9KRX4","Q5E581",,,,,,,,,,,,,,,,,,,,"Q50329",,,,
NRDD_ECOLI,"Q9I2I4",,"Q9RIL6;Q9L646",,"Q9KM77","Q5E0U5",,"P43752",,,"Q93S19",,,"Q97SW2",,,,,,"Q8VKI9",,,,,,,,,,
NRFA_ECOLI,,,"Q8ZKF5",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRFC_ECOLI,,,"Q8ZKF3",,,,,"Q83UU2;Q83UX7;Q83UU1;Q83UX8;P45015",,,,,,,,,,,,,,,,,,,,,,
NRFD_ECOLI,,,"Q8ZKF2",,,,,,,,,,,,,,,,,,,,,,,,,,,
NRFE_ECOLI,,,,,,"Q5E4K1",,"P44944",,,,,,,,,,,,,,,,,,,,,,
NRFF_ECOLI,,,,,,"Q5E4K3",,,,,,,,,,,,,,,,,,,,,,,,
NRFG_ECOLI,,,"Q8ZKF0",,,"Q5E4J6",,,,,,,,,,,,,,,,,,,,,,,,
NTRB_ECOLI,,,"P0A2D9","Q8CZM4","Q9KNJ0","Q5E8Q5",,,,,,,,,,,,,,,,,,,,,,,,
NTRC_ECOLI,,,"P41789","Q8CWG5",,"Q5E8Q6",,,,,,,,,,,,,,,,,,,,,,,,
NUDB_ECOLI,,,"Q8ZNV3","Q7CIC0",,,,"P44635",,,,,,,,,,,,,,,,,,,,,,
NUDC_ECOLI,"O86062",,"Q9L9I5","Q8ZAQ5","Q9KV27","Q5E248",,"P44710",,,,,,,"Q9RV62",,,,,,,,,,,,,,,
NUDE_ECOLI,"Q9HU13",,,"16120487","Q9KNL1","Q5E1Y8",,,,,,,,,,,,,,,,,,,,,,,,
NUDG_ECOLI,,,"Q8ZPV3","16122399",,,,,,,,,,,,,,,,"O06558",,"Q93IY3",,,,,,,,
NUDI_ECOLI,,,"Q8ZNF5",,,,,,,,,,,,,,,,,,,,,,,,"Q97WE7",,,
NUDK_ECOLI,,,"Q7CQ25","Q8ZCF6",,,,,,,,,,,,,,,,,,,,,,,,,,
NUDL_ECOLI,,,"P0A2K9",,"Q9KSF4","Q5E5M3",,,,,,,,,,,,,,,,,,,,,,,,
NUOCD_ECOLI,,"Q9KGW7;Q9KGW6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUOF_ECOLI,"Q9I0J7","Q9KGW4",,"Q8ZDL1",,,,,,,,,,,,,,,,,,,,,,,,,,
NUOG_ECOLI,"Q9I0J6","Q9KGW3;AAF97803","AAA16063","Q8ZDL2",,,,,,,,,,,,,,,,,,,,,,,,,,
NUSA_ECOLI,"Q9HV54",,"1073689;P37430","16123643;Q8D1D2","Q9KU81",,,"P43915;1075364","Q9ZCZ7",,,,,,,,,,,,,,,,,,,,,
NUSB_ECOLI,"Q9HWX6",,"Q8ZRD3","Q8ZC42","Q9KPU5",,,"P45150","Q9ZE01","O24853",,"P54520","Q81M49","P65582","Q9RSQ7","O84839","Q9Z6S0","O66530","Q9X286","P95020","Q5YTL2","Q9KXR0","O51134","O83979",,,,,,
ODO2_ECOLI,"Q9I3D2",,"Q7CQX4","Q7CH47","Q9KQB4","Q5E6M7","B5FC27;A9IGZ0","P45302",,,,,,,,,,,,,,,,,,,,,,
ODP2_ECOLI,"Q59638",,"Q8ZRT1","16123567","Q9KPF5","Q5E2S2",,"P45118",,,,,,,"Q9RXQ3",,,,,,,,,,,,,,,
OGT_ECOLI,,,"1095274","16122523;Q74TR0",,,,,,,,,,,,,,,,,,,,,,,,,,
OMPW_ECOLI,,,"Q8ZP50;Q9KWV2",,,,,,,,,,,,,,,,,,,,,,,,,,,
OPDA_ECOLI,"Q9I765",,"P27237","Q7CG05","Q9KVF8","Q5E1W4",,"P44573",,,,,,,,,,,,,,,,,,,,,,
OPGB_ECOLI,,,"Q8ZJX6",,,,,,,,,,,,,,,,,,,,,,,,,,,
OPGC_ECOLI,,,"Q8ZQ27",,,,,,,,,,,,,,,,,,,,,,,,,,,
OPGD_ECOLI,,,"Q8ZPB3",,,,,,,,,,,,,,,,,,,,,,,,,,,
OPGG_ECOLI,"Q9HUA5",,"P67557",,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPD_ECOLI,,,"P04285","Q7CIN1","Q9KT11","Q5E4F7",,"P45052",,,,,,,,,,,,,,,,,,,,,,
ORN_ECOLI,"P57665",,"P65599","Q8ZIW9","Q9KV17","Q5E2C2",,"P45340",,,,,,,,,,,,,,,,,,,,,,
OSMC_ECOLI,"Q9I773",,,,,,,,,,,,,,"Q9RU56",,,,,,,"O86713",,,,,,,,
OSTA_ECOLI,,,"Q8ZRW0","Q8ZIK3","Q9KUR9","Q5E862",,,,,,,,,,,,,,,,,,,,,,,,
OTC1_ECOLI,,,"Q08016;421212",,,,,,,,,,,,,,,,,,,,,,,,,,,
OTSB_ECOLI,,,"Q9L894",,,,,,,,,,,,,,,,,,,,,,,,,,,
OXAA_ECOLI,"Q9HT06",,"Q8ZKY4","Q8Z9U3","Q9KVY4","Q5E8Z8",,"P44973","Q9ZE97","O25989",,,,,,,,,,,,,,"O66103",,,,,,
OXC_ECOLI,,,,,,,,,,,,,,,,,,,,"O53639",,,,,,,,,,
OXYR_ECOLI,,,,"16124047",,,,,,,,,,,,,,,,,,,,,,,,,,
P5CR_ECOLI,,,"Q8ZRF0",,,,,,,,,,,,,,,,,,,,,,,,,,,
PA1_ECOLI,,,,"16123969",,,,,,,,,,,,,,,,,,,,,,,,,,
PAAE_ECOLI,,,,,,,,,,,,,,,,,,,,"P71846;Q7D5A7",,"Q93JC1",,,,,,,,
PAAG_ECOLI,"Q9HUI5",,,,,,,,,,,,,,"Q9RRI1",,,,,,,,,,,,,,,
PAAI_ECOLI,,,,,,,,,,,,,,,"Q9RS06",,,,,,"Q5YXU2","Q93JC6",,,,,"Q97VK2",,,
PAAJ_ECOLI,"Q9HZQ7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAAY_ECOLI,,,"Q8ZRX6",,,,,,,,,,,,,,,,,,,,,,,,,,,
PABA_ECOLI,"Q9K2H9;P20576;94825",,"P06193","16120512;Q8CZJ3","Q9KNW1","Q5E2G6",,"P44339",,,,"P28819","Q81VX0",,"Q9RTJ6",,,"O66825","Q08654",,,,,,,,,,,
PABB_ECOLI,"Q9I2Y1",,"P12680","16122027","Q9KSF3","Q5E5M2",,,,,,,,,,,,,,,,,,,,,,,,
PAL_ECOLI,,,,"Q7CH55","Q9KR12","Q5E688",,,,,,,,,,,,,,,,,,,,,,,,
PANB_ECOLI,,,"Q8ZRR0","Q8ZBK8","Q9KUD0",,,,,,,,,,,,,,,,,,,,,,,,,
PANC_ECOLI,"Q9HV69","Q848I6","Q8ZRR1","Q8ZBK7","Q9KUD1","Q5E2T1",,,,,,,,,,,,,,,,,,,,,,,,
PAND_ECOLI,"Q9HV68","Q848I5",,"Q8ZBK6",,,,,,,,,,,,,,,,,,,,,,,,,,
PANE_ECOLI,,,"P37402","Q8ZC51","Q9KPQ9","Q5E6Y3",,,,,,,,,,,,,,,,,,,,,,,,
PANF_ECOLI,,,"Q8ZLN9","Q0WAZ6;Q8D1P2",,,,"P44963",,,,,"Q81YE2",,,,,,,,,,"O51754",,,,,,,
PARC_ECOLI,"Q9ZNQ0;Q9HUK1",,"P26973;321927","16120996;Q9L7P6;Q7CGH9","Q9KPE0","Q5E2M4",,"P43702",,,,,,,,,,,,,,,,,,,,,,
PARE_ECOLI,"Q9HUJ8;Q9ZNP9",,,"Q7CGH6","Q9KPD9","Q5E2M3",,"P43703",,,,,,,,,,,,,,,,,,,,,,
PAT_ECOLI,,,"Q8ZLX7",,,,,,,,,,,,,,,,,,,"Q9K3F7",,,,,,,,
PBPA_ECOLI,"Q07806",,"Q8ZLJ7","Q8CZJ8;Q8ZJG3","Q9KNU5","Q5E2F3",,"P31776",,,,,,,,,,,,,,,,,,,,,,
PCNB_ECOLI,"Q9HV72","Q848I9","Q8ZRQ8","Q8ZBL0;Q74XU6","Q9KUC8",,,"P44439",,,,,,,,"O84415","Q7VPS0;Q9Z6U2;Q9JRZ1",,,,,,,,,,,,,
PDHR_ECOLI,"Q9HV39",,,"Q8D1B5","Q9KPF3","Q5E2R9",,,,,,,,,,,,,,,,,,,,,,,,
PDXA_ECOLI,"Q9I5U4",,"P58717","P58719","Q9KUS1","Q5E864",,,,,,,,,,,,,,,,,,,,,,,,
PDXB_ECOLI,"Q9I3W9",,,"Q8D0U3","Q9KQ92",,,,,,,,,,,,,,,,,,,,,,,,,
PDXH_ECOLI,,,"Q8ZPM9","Q8ZE19","Q9KKM4","Q5DYB5",,"P44909",,,,,,,,,,,,,,,,,,,,,,
PDXJ_ECOLI,"Q9I5G5",,"Q8ZN19","Q8D081","Q9KPB5","Q5E317",,,,"O26102",,,,,,,,"O67417",,,,,,,,,,,,
PDXK_ECOLI,,,"P40192",,,,,,,,,,,,,,,,,,,,,,,,,,,
PDXY_ECOLI,"Q9HT57",,"Q8ZPM8","16122591;Q7CIR8",,"Q5E345",,"P44690",,,,,,,"Q9RYX0",,,,,,,,,,,,,,,
PEPB_ECOLI,,,"Q9RF52","P58475","Q9KTX5","Q5E777",,"P58474",,,,,,,,,,,,,,,,,,,,,,
PEPD_ECOLI,,,"Q8ZRJ5","Q7CK62","Q9KPT3","Q5E6W5",,"P44817",,,,,,,,,,,,,,,,,,,,,,
PEPQ_ECOLI,,,,"16123901",,,,,,,,,,,,,,,,,,,,,,,,,,
PEPT_ECOLI,,,"P26311","Q8ZFR0","Q9KMY6","Q5E0X3",,"P45172",,,,,,,,,,,,,,,,,,,,,,
PFLB_ECOLI,,,,"16121663;Q8D044","Q9KQY1","Q5E4G1",,"P44455;P43753",,,,,,,,,,,,,,,,,,,,,,
PFLC_ECOLI,,,"Q8ZKM3",,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLD_ECOLI,,,"Q8ZKM4",,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLE_ECOLI,,,"Q8ZQM5",,,,,,,,,,,,,,,,,,,,,,,,,,,
PFLF_ECOLI,,,"Q8ZQM6",,,,,,,,,,,"Q97SS3",,,,,,,,,,,,,,,,
PGAA_ECOLI,,,,"Q74UL6;Q56939;Q8D0D4",,,,,,,,,,,,,,,,,,,,,,,,,,
PGAB_ECOLI,,,,"Q56940",,,,,,,,,,,,,,,,,,,,,,,,,,
PGAC_ECOLI,,,,"Q0WFJ6;Q9R7V5",,,,,,,,,,,,,,,,,,,,,,,,,,"Q8U3K1"""
PGK_ECOLI,"Q9I5Y4",,,"Q8ZHH3","P0C6Q3","Q5E7Q9",,"P43726",,,,,,,,,,,,,,,,,,,,,,
PGMB_ECOLI,,,,,,,,,,,,"O06995",,,,,,,"Q9X0Y1",,,,,,,,,,,
PGM_ECOLI,,,"Q8ZQW9","16122891;Q8D111","Q9KQA5",,,,,,,,,,,,,,,"P95090",,"Q9L117",,,,,,,,
PGSA_ECOLI,"Q9I0Q2","P45419","Q7CQB9","Q8ZF51","Q9KSP1","Q5E4C6",,"P44528","Q9ZE96","O25660",,"P46322",,"Q97N49",,,,,,"O33288","Q5YSY5","O86813","O51663",,,,,,,
PHEA_ECOLI,"Q9HU05",,,"Q74XL6","Q9KU24","Q5E7E0",,"P43900",,,,,,,,,,,,,,,,,,,,,"Q9HQB1",
PHEP_ECOLI,,,"Q8ZR53",,,,,,,,,,,,,,,,,,,,,,,,,,,
PHNB_ECOLI,,,"Q8ZKE5",,,,,,,,,,,,,,,,,,,,,,,,,,,
PHNF_ECOLI,"Q9HYM0",,,"Q7CKG3",,,,,,,,,,,,,,,,,,,,,,,,,,
PHNG_ECOLI,"Q9HYM1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHNI_ECOLI,,,,"Q74X37;Q8D1C5",,,,,,,,,,,,,,,,,,,,,,,,,,
PHNN_ECOLI,"Q9HYM8",,,"16123610",,,,,,,,,,,,,,,,,,,,,,,,,,
PHNO_ECOLI,"Q9HYN3",,"Q8ZKE6",,,,,,,,,,"Q81RG1",,"Q9RUJ0",,,,,,,"Q9X8U9",,,,,,,,
PHNP_ECOLI,"Q9HYM9",,,"16123611",,,,,,,,,,,,,,,,,,,,,,,,,,
PHOB_ECOLI,"94799",,,"Q8D168","O85089;Q9KU11",,,,,,,,,,,,,,,,,,,,,,,,,
PHOE_ECOLI,,,"P30705",,,,,,,,,,,,,,,,,,,,,,,,,,,
PHOP_ECOLI,"Q9I4F9",,,"P74992",,,,,,,,,,,,,,,,,,,,,,,,,,
PHOR_ECOLI,"P23621",,"Q8ZRE1",,"Q9KU10;O85090","Q5E3B4",,,,,,,,,,,,,,"P0A600","Q5YP52","Q9L0R2",,,,,,,,
PHR_ECOLI,"Q9HVD2",,"P25078;7436791","16122900","Q9KNA8","Q5DZH3",,,,,,,,,,,,,,,,,,,,,,,"130153;Q9HP89;Q9HQ46",
PHSC_ECOLI,,,"P37602;AAA68433",,,,,,,,,,,,,,,,,,,,,,,,,,,
PHSG_ECOLI,,,"Q8ZLG7","Q8CZK3;Q8ZA79",,,,"P45180",,,,,,,,,,,,,,,,,,,,,,
PHSM_ECOLI,,,"Q8ZLI4",,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYDA_ECOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,"Q9UX68",,,
PINE_ECOLI,,,"Q8ZMU9",,,,,,,,,,,,,,,,,,,,,,,,,,,
PINQ_ECOLI,,,,,"Q9KLF1",,,,,,,,,,,,,,,,,,,,,,,,,
PLSX_ECOLI,"Q9HZN5",,,"Q8ZFT8","Q30JS1;Q30JS0;Q30JR8;Q9KQH4;Q30JS4","Q5E408",,,,"O24993",,"P71018","Q81WI5","Q97TA6","Q46578","O84817","Q9Z6U6","O67186","Q9WXZ6",,,,,,"Q49427","P75232",,,,
PNCA_ECOLI,,,"Q8ZPV8","16122392",,,,,,,,,,,,,,,,,,,,"O83694",,,,,,
PNCB_ECOLI,,,"P22253","Q8ZG93",,,,,,,,,,,,,,,,,,,,,,,,,,
PNP_ECOLI,"Q9HV59",,"Q8ZLT3","Q0WBF9","Q9KU76",,,"P44584","Q9ZD43",,,,,,,,,,,,,,,,,,,,,
PNTA_ECOLI,,,"Q8ZPL0","16122527","Q9KM26",,,"P43842",,,,,,,,,,,,,,"Q9F3D4",,,,,,,,
POTD_ECOLI,,,,,"Q9KS37","Q5E582",,"E64072;P44731",,,,,,,,,,,,,,,,,,,,,,
POTF_ECOLI,,,"Q8ZQK0","16121613;Q8D032;NP_404926",,,,,,,,,,,,,,,,,,,,,,,,,,
POTG_ECOLI,,,"Q8ZQJ9",,,,,,,,,,,,,,,,,,,,,,,,,,,
POXB_ECOLI,"Q9HTQ7",,,"Q8ZGE3",,,,,,,,,,,,,,,,,,"Q9ZBT3",,,,,,,,
PPB_ECOLI,,,"1361304",,,,,,,,,,,,,,,,,,,,,,,,,,,
PPCK_ECOLI,,,"P41033","Q8ZJG9","Q9KNK0",,,"P43923",,,,,,,,,,,,,,,,,,,,,,
PPDB_ECOLI,,,"Q8ZMB1",,"Q9KTP2","Q5E7D1",,"P44080",,,,,,,,,,,,,,,,,,,,,,
PPDD_ECOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPIA_ECOLI,,,"P20753","Q8CZJ4;16120510",,,,,,,,,,,,,,,,,,,,,,,,,,
PPIB_ECOLI,,,,"Q938P9;16123251","Q9KQZ8","Q5E4F0",,"P44499",,,,,,,,,,,,,,,,,,,,,,
PPIC_ECOLI,,,"P0A265","16124006;Q8D1K8","Q9KKZ7","Q5DZM9",,,,,,,,,,,,,,,,,,,,,,,,
PPK_ECOLI,,,"O86090",,"Q9KU07",,,,,,,,,,,,,,,,,,,,,,,,,
PPSA_ECOLI,"Q9I2W9",,"Q8ZPS3","16122631;Q74TG2","Q9KKW3",,,,,,,,,,"O83026",,,,,,,,,,,,,,,
PPX_ECOLI,,,,,"Q9KU08",,,,,,,,,,,,,,,,,,,,,,,,,
PQIB_ECOLI,,,"Q8ZQ71",,"Q9KR88",,,,,,,,,,,,,,,,,,,,,,,,,
PQQL_ECOLI,,,,,"Q9KRD3",,,"P45181",,,,,,,,,,,,,,,"O51486",,,,,,,
PRC_ECOLI,"Q9HYY3",,"P43669","Q8D0N7;16121965","Q9KRY7","Q5E5C1",,"P45306",,,,,,,,"O84448","Q9Z7Z7",,,,,,,,,,,,,
PRIA_ECOLI,,,"Q8ZKN8",,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIB_ECOLI,,,"Q8ZK82","Q8ZB82","Q9KUZ1",,,"F64076;P44748",,,,,,,,,,,,,,,,,,,,,,
PRIM_ECOLI,"Q9I5W0",,"P07362","Q7CGG5",,,,"Q08346",,,,,,,,,,,,,,,,,,,,,,
PROA_ECOLI,,,"P40861",,"Q9KPT9","Q5E6W0",,"P45121",,,,,,,"Q9RTD9",,,,,,,,,,,,,,,
PROP_ECOLI,,,"P40862",,,,,,,,,,,,,,,,,,,,,,,,,,,
PROQ_ECOLI,,,"P60317",,"Q9KRY6","Q5E5C2",,"P44286",,,,,,,,,,,,,,,,,,,,,,
PROV_ECOLI,,,,"Q8D118",,"Q5E6R4",,,,,,,,,,,,,,,,,,,,,,,,
PROW_ECOLI,,,"P17327",,,"Q5E6R5",,,,,,,,,,,,,,,,,,,,,,,,
PROX_ECOLI,,,"Q8ZML1",,,,,,,,,,,,,,,,,,,,,,,,,,,
PRP2_ECOLI,,,"Q8ZMH3",,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPB_ECOLI,"Q9I5E2",,"Q56062",,"Q9KSC2",,,,,,,,,,,,,,,,,,,,,,,,,
PRPC_ECOLI,"Q9I5E3",,"Q56063",,"Q9KSC1",,,,,,,,,,,,,,,,,,,,,,,"Q9YB84",,
PRPD_ECOLI,"Q9I5E6",,"P74840",,,,,,,,,"P45859","Q81QR9",,,,,,,,,,,,,,,,,
PRPE_ECOLI,,,"P55912",,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPR_ECOLI,,,"P74839",,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPA_ECOLI,,,"Q8ZP60",,"Q9KRG4","Q5E0R5",,,,,,,,,,,,,,,,,,,,,,,,
PSPE_ECOLI,,,,,"Q9KN65",,,,,,,,,,,,,,,,,,,,,,,,,
PSS_ECOLI,,,,"Q8D180;16123430","Q9KV43",,,,,,,,,,,,,,,,,,,,,,,,,
PSTS_ECOLI,,,"Q8ZKX5",,,,,,,,,,,,,,,,,,,,,,,,,,,
